ANIME_ID,NAME,SCORE,TYPE,EPISODES,STATUS,STUDIOS,SOURCE,RATING,RANK,POPULARITY,FAVORITES,SCORED_BY,MEMBERS,DURATION_FINAL,PREMIERED_SEASON,PREMIERED_YEAR,Action,Adventure,AvantGarde,AwardWinning,BoysLove,Comedy,Drama,Ecchi,Erotica,Fantasy,GirlsLove,Gourmet,Hentai,Horror,Mystery,Romance,Sci-Fi,SliceofLife,Sports,Supernatural,Suspense
63,DearS,6.56,TV,12.0,Finished Airing,Daume,Manga,R+ - Mild Nudity,6027.0,1460,346,78611.0,145533,23.0,summer,2004.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
64,Rozen Maiden,7.41,TV,12.0,Finished Airing,Nomad,Manga,PG-13 - Teens 13 or older,2053.0,1120,1936,95684.0,199570,24.0,fall,2004.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Rozen Maiden: Träumend,7.62,TV,12.0,Finished Airing,Nomad,Manga,PG-13 - Teens 13 or older,1340.0,1898,450,57969.0,102972,24.0,fall,2005.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Azumanga Daiou The Animation,7.99,TV,26.0,Finished Airing,J.C.Staff,4-koma manga,PG-13 - Teens 13 or older,603.0,668,6327,146773.0,327945,24.0,spring,2002.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,Basilisk: Kouga Ninpou Chou,7.55,TV,24.0,Finished Airing,Gonzo,Manga,R - 17+ (violence & profanity),1539.0,1213,1371,76398.0,182074,24.0,spring,2005.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,Black Cat (TV),7.33,TV,23.0,Finished Airing,Gonzo,Manga,PG-13 - Teens 13 or older,2389.0,846,1779,127273.0,264622,24.0,fall,2005.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,Cluster Edge,6.31,TV,25.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,7357.0,5917,13,2996.0,10561,24.0,fall,2005.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
71,Full Metal Panic!,7.61,TV,24.0,Finished Airing,Gonzo,Light novel,R - 17+ (violence & profanity),1356.0,422,4326,236646.0,482069,24.0,winter,2002.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,Full Metal Panic? Fumoffu,8.03,TV,12.0,Finished Airing,Kyoto Animation,Light novel,PG-13 - Teens 13 or older,548.0,769,2907,171852.0,289064,24.0,summer,2003.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Full Metal Panic! The Second Raid,7.93,TV,13.0,Finished Airing,Kyoto Animation,Light novel,R - 17+ (violence & profanity),682.0,878,1268,145898.0,255279,24.0,summer,2005.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Gakuen Alice,7.64,TV,26.0,Finished Airing,Group TAC,Manga,G - All Ages,1276.0,1975,1397,50323.0,97186,25.0,fall,2004.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,Soukyuu no Fafner: Dead Aggressor,7.26,TV,25.0,Finished Airing,Xebec,Original,PG-13 - Teens 13 or older,2751.0,3000,260,14750.0,47077,24.0,summer,2004.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,Mahou Shoujo Lyrical Nanoha,7.41,TV,13.0,Finished Airing,Seven Arcs,Original,PG-13 - Teens 13 or older,2044.0,1921,1038,41202.0,101048,25.0,fall,2004.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Mahou Shoujo Lyrical Nanoha A's,7.97,TV,13.0,Finished Airing,Seven Arcs,Original,PG-13 - Teens 13 or older,622.0,2555,993,33024.0,63640,25.0,fall,2005.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Shuffle!,7.03,TV,24.0,Finished Airing,asread.,Visual novel,R+ - Mild Nudity,3854.0,820,1461,133611.0,273378,24.0,summer,2005.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
80,Kidou Senshi Gundam,7.76,TV,43.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,1005.0,1632,2140,56938.0,126804,25.0,spring,1979.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,8.01,OVA,12.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,571.0,2231,1064,43859.0,79682,25.0,UNKNOWN,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7.96,OVA,6.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,630.0,2718,966,31259.0,56839,27.0,UNKNOWN,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.76,Movie,1.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,5014.0,5384,3,6621.0,13284,52.0,UNKNOWN,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
84,Kidou Senshi Gundam 0083: Stardust Memory,7.24,OVA,13.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,2801.0,3173,251,23874.0,42580,28.0,UNKNOWN,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
85,Kidou Senshi Zeta Gundam,7.9,TV,50.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,719.0,2401,2117,35809.0,70651,24.0,spring,1985.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
86,Kidou Senshi Gundam ZZ,6.68,TV,47.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,5437.0,3254,178,19985.0,40669,24.0,spring,1986.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,Kidou Senshi Gundam: Gyakushuu no Char,7.66,Movie,1.0,Finished Airing,Sunrise,Novel,PG-13 - Teens 13 or older,1225.0,3005,422,27623.0,46928,119.0,UNKNOWN,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Kidou Senshi Gundam F91,6.62,Movie,1.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,5740.0,3771,82,16605.0,30560,120.0,UNKNOWN,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,Kidou Senshi Victory Gundam,6.77,TV,51.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,4996.0,4037,136,10400.0,26469,24.0,spring,1993.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,Shin Kidou Senki Gundam Wing,7.69,TV,49.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,1168.0,1391,2334,87593.0,155744,24.0,spring,1995.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,OVA,3.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,1050.0,2996,176,27092.0,47208,30.0,UNKNOWN,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,Kidou Shinseiki Gundam X,7.34,TV,39.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,2330.0,3534,199,15331.0,34851,24.0,spring,1996.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,Kidou Senshi Gundam SEED,7.75,TV,50.0,Finished Airing,Sunrise,Original,R - 17+ (violence & profanity),1011.0,1330,3435,92725.0,164436,24.0,fall,2002.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
94,Kidou Senshi Gundam SEED Destiny,7.18,TV,50.0,Finished Airing,Sunrise,Original,R - 17+ (violence & profanity),3122.0,1887,1063,63114.0,104048,24.0,fall,2004.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
95,Turn A Gundam,7.74,TV,50.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,1057.0,3041,965,16137.0,45772,24.0,spring,1999.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
96,Kidou Butouden G Gundam,7.57,TV,49.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,1451.0,2483,978,36150.0,66828,24.0,spring,1994.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
97,Last Exile,7.79,TV,26.0,Finished Airing,Gonzo,Original,PG-13 - Teens 13 or older,943.0,1297,1825,69879.0,170062,24.0,spring,2003.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,Mai-HiME,7.42,TV,26.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,1981.0,1781,1146,51203.0,113210,23.0,fall,2004.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
99,Mai-Otome,7.28,TV,26.0,Finished Airing,Sunrise,Original,PG-13 - Teens 13 or older,2631.0,2896,303,25042.0,50454,23.0,fall,2005.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,Shin Shirayuki-hime Densetsu Prétear,7.16,TV,13.0,Finished Airing,Hal Film Maker,Manga,PG-13 - Teens 13 or older,3271.0,2589,409,28219.0,62156,23.0,spring,2001.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
101,Air,7.28,TV,12.0,Finished Airing,Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,2603.0,761,2605,151312.0,292351,24.0,winter,2005.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
102,Aishiteruze Baby★★,7.44,TV,26.0,Finished Airing,TMS Entertainment,Manga,PG-13 - Teens 13 or older,1895.0,1919,546,52861.0,101134,25.0,spring,2004.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,Akazukin Chacha,7.49,TV,74.0,Finished Airing,Gallop,Manga,G - All Ages,1733.0,5140,110,5335.0,14917,24.0,winter,1994.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
104,Ayashi no Ceres,7.18,TV,24.0,Finished Airing,Pierrot,Manga,R - 17+ (violence & profanity),3156.0,2628,482,27320.0,60668,21.0,spring,2000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
105,Boys Be...,6.4,TV,13.0,Finished Airing,Hal Film Maker,Manga,PG-13 - Teens 13 or older,6889.0,4306,42,9195.0,22934,23.0,spring,2000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
106,Hana yori Dango,7.61,TV,51.0,Finished Airing,Toei Animation,Manga,PG-13 - Teens 13 or older,1359.0,2643,769,24437.0,59814,25.0,fall,1996.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,Ou Dorobou Jing,7.19,TV,13.0,Finished Airing,Studio Deen,Manga,PG-13 - Teens 13 or older,3109.0,3440,206,14288.0,36942,24.0,spring,2002.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
108,Ou Dorobou Jing in Seventh Heaven,7.25,OVA,3.0,Finished Airing,Studio Deen,Manga,PG-13 - Teens 13 or older,2793.0,5457,24,5491.0,12873,30.0,UNKNOWN,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,Bakuretsu Tenshi,6.79,TV,24.0,Finished Airing,Gonzo,Original,PG-13 - Teens 13 or older,4892.0,2435,234,30890.0,69227,23.0,spring,2004.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,Chuuka Ichiban!,7.58,TV,52.0,Finished Airing,Nippon Animation,Manga,PG-13 - Teens 13 or older,1432.0,4649,113,8106.0,19292,23.0,spring,1997.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,Corrector Yui,6.97,TV,52.0,Finished Airing,Nippon Animation,Original,G - All Ages,4110.0,5031,92,6635.0,15804,25.0,spring,1999.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,Chou Henshin Cosprayers,4.82,TV,8.0,Finished Airing,"Imagin, Studio Live",Original,PG-13 - Teens 13 or older,12171.0,6433,5,3197.0,8567,17.0,winter,2004.0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
113,Uchuu no Stellvia,7.37,TV,26.0,Finished Airing,Xebec,Original,PG-13 - Teens 13 or older,2176.0,4220,119,9484.0,24116,23.0,spring,2003.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
114,Sakigake!! Cromartie Koukou,7.9,TV,26.0,Finished Airing,Production I.G,Manga,PG-13 - Teens 13 or older,722.0,1549,1600,52849.0,134468,12.0,fall,2003.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,El Hazard: The Alternative World,6.79,TV,13.0,Finished Airing,AIC,Original,PG-13 - Teens 13 or older,4906.0,5731,8,4915.0,11370,25.0,winter,1998.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,El Hazard: The Wanderers,6.93,TV,26.0,Finished Airing,AIC,Original,PG-13 - Teens 13 or older,4257.0,4846,35,7070.0,17489,23.0,fall,1995.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
117,El Hazard: The Magnificent World,7.26,OVA,7.0,Finished Airing,AIC,Original,PG-13 - Teens 13 or older,2720.0,4693,95,7676.0,18867,34.0,UNKNOWN,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
118,El Hazard 2: The Magnificent World,6.78,OVA,4.0,Finished Airing,AIC,Original,PG-13 - Teens 13 or older,4926.0,6314,6,4238.0,9011,30.0,UNKNOWN,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,Final Approach,6.52,TV,13.0,Finished Airing,"Trinet Entertainment, Zexcs",Visual novel,PG-13 - Teens 13 or older,6278.0,3525,46,17478.0,35110,14.0,fall,2004.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,Fruits Basket,7.69,TV,26.0,Finished Airing,Studio Deen,Manga,PG-13 - Teens 13 or older,1174.0,389,9255,276380.0,524623,24.0,summer,2001.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
121,Fullmetal Alchemist,8.11,TV,51.0,Finished Airing,Bones,Manga,R - 17+ (violence & profanity),454.0,76,25502,868434.0,1426703,24.0,fall,2003.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Full Moon wo Sagashite,7.94,TV,52.0,Finished Airing,Studio Deen,Manga,PG-13 - Teens 13 or older,660.0,1860,1782,46837.0,106414,24.0,spring,2002.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
123,Fushigi Yuugi,7.61,TV,52.0,Finished Airing,Pierrot,Manga,PG-13 - Teens 13 or older,1357.0,1748,2043,51017.0,115885,23.0,spring,1995.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
